Широта;Долгота;Описание;Подпись;preset
56.8605175;53.1977307;Ижевск, Удмуртская Республика;Ижевск;islands#blueDotIcon
52.2891225;104.279829;Иркутск, Иркутская область;Иркутск;islands#blueDotIcon
48.4812568;135.0762968;Хабаровск, Хабаровский край;Хабаровск;islands#blueDotIcon
56.8382071;60.6007886;Екатеринбург, Свердловская область;Екатеринбург;islands#blueDotIcon
52.033409;113.500893;Чита, Забайкальский край;Чита;islands#blueDotIcon
55.1598408;61.4025547;Челябинск, Челябинская область;Челябинск;islands#blueDotIcon
56.1399598;47.2480999;Чебоксары, Чувашская Республика;Чебоксары;islands#blueDotIcon
53.2423778;34.3668288;Брянск, Брянская область;Брянск;islands#blueDotIcon
50.5955595;36.5873394;Белгород, Белгородская область;Белгород;islands#blueDotIcon
53.3475493;83.7788448;Барнаул, Алтайский край;Барнаул;islands#blueDotIcon
46.3498308;48.0326203;Астрахань, Астраханская область;Астрахань;islands#blueDotIcon
47.7094622;40.2154859;Шахты, Ростовская область;Шахты;islands#blueDotIcon
51.6605982;39.2005858;Воронеж, Воронежская область;Воронеж;islands#blueDotIcon
55.7505412;37.6174782;Москва, Москва;Москва;islands#blueDotIcon
