ID;city_name;city_slug;city_regions;city_eng;city_padej1;city_padej2;city_padej3;city_phone;belingogeopro_excluded_cities
438;Екатеринбург;ekaterinburg;"Свердловская область";;в Екатеринбурге;в Екатеринбург;из Екатеринбурга;;Array
437;Чита;chita;"Забайкальский край";;в Чите;в Читу;из Читы;;Array
436;Челябинск;chelyabinsk;"Челябинская область";;в Челябинске;в Челябинск;из Челябинска;;Array
435;Чебоксары;cheboksary;"Чувашская Республика";;в Чебоксарах;в Чебоксары;из Чебоксар;;Array
434;Брянск;bryansk;"Брянская область";;в Брянске;в Брянск;из Брянска;;Array
433;Белгород;belgorod;"Белгородская область";;в Белгороде;в Белгород;из Белгорода;;Array
432;Барнаул;barnaul;"Алтайский край";;в Барнауле;в Барнаул;из Барнаула;;Array
431;Астрахань;astraxan;"Астраханская область";;в Астрахани;в Астрахань;из Астрахани;;Array
430;Шахты;shaxty;"Ростовская область";;в Шахтах;в Шахты;из Шахт;;Array
429;Воронеж;voronezh;"Воронежская область";;в Воронеже;в Воронеж;из Воронежа;;Array
428;Москва;moskva;Москва;;в Москве;в Москву;из Москвы;;Array
